iso3,name,target,predicted,residual,quant_score,qual_score,cof_contribution,cof_raw,debt_service_ratio_contribution,debt_service_ratio_raw,gdp_capita_contribution,gdp_capita_raw,pr_contribution,pr_raw,rol_contribution,rol_raw
LBY,LIBYAN ARAB JAMAHIRIYA,-0.784635585188839,-0.4820239644406068,-0.3026116207482322,-1.4847631770770469,-0.4157971500321675,-0.5741355470588213,5.0,-0.504338165994657,11.1,-0.4062894640235686,9230.0,-0.16922595765350815,7.0,0.1460356543171701,-0.97580320805527
LTU,LITHUANIA,-1.54243572245691,-0.6310992865050339,-0.9113364359518762,-1.5904160670284293,-0.6030610051633306,-0.5741355470588213,0.75,-0.6099910559460395,16.6,-0.4062894640235686,13140.0,-0.09670054723057608,4.0,-0.1137536112369251,0.760096151120628
MAC,MACAO,-1.62220415795881,-0.545297390980522,-1.0769067669782881,-1.4847631770770469,-0.571076368311135,-0.5741355470588213,0.3,-0.504338165994657,0.0740466493891151,-0.4062894640235686,67630.0,-0.07252541042293206,3.0,-0.10594411119237344,0.707913447982732
MKD,"MACEDONIA, THE FORMER YUGOSLAV REP",-0.41903025580512,-0.5038578462503358,0.08482759044521582,-1.4847631770770469,-0.4693796456359315,-0.5741355470588213,4.8,-0.504338165994657,9.2,-0.4062894640235686,5030.0,-0.1208756840382201,5.0,0.04410288509811803,-0.294693353924163
MYS,MALAYSIA,-0.458914473556074,-0.5332541601199009,0.07433968656382689,-1.4847631770770469,-0.5415210940695753,-0.5741355470588213,3.196,-0.504338165994657,4.1,-0.4062894640235686,9740.0,-0.07252541042293206,3.0,-0.07638883695081375,0.510426529088047
MUS,MAURITIUS,-0.904288238441692,-0.543637313071077,-0.36065092537061505,-1.4847631770770469,-0.5670023736793097,-0.5741355470588213,3.7,-0.504338165994657,3.7,-0.4062894640235686,8760.0,-0.04835027361528804,2.0,-0.12604525336819225,0.842228311790843
MEX,MEXICO,-0.625098714185038,-0.4679645833284686,-0.15713413085656946,-1.4847631770770469,-0.38129404457443317,-0.5741355470588213,4.824,-0.504338165994657,12.5,-0.4062894640235686,9950.0,-0.07252541042293206,3.0,0.08383821254432837,-0.56020289799021
NLD,NETHERLANDS,0.0329908787056561,-0.5927302681292119,0.625721146834868,-1.4847631770770469,-0.6874813188115565,-0.5741355470588213,1.4,-0.504338165994657,0.283611240115277,-0.4062894640235686,50460.0,-0.02417513680764402,1.0,-0.270699335308083,1.80879991976726
NZL,NEW ZEALAND,0.0529329875811356,-0.6687620890287018,0.7216950766098374,-1.5904160670284293,-0.695489230626685,-0.5741355470588213,2.5,-0.6099910559460395,23.2,-0.4062894640235686,36150.0,-0.02417513680764402,1.0,-0.27870724712321143,1.86230840079926
NOR,NORWAY,-1.9612200088419,-0.5998415186665549,-1.3613784901753452,-1.4847631770770469,-0.7049330277644122,-0.5741355470588213,2.872,-0.504338165994657,0.214249674295311,-0.4062894640235686,97320.0,-0.02417513680764402,1.0,-0.2881510442609388,1.92541139839465
PAN,PANAMA,-0.864404020690745,-0.49420796668135436,-0.3701960540093906,-1.4847631770770469,-0.4456978911001256,-0.5741355470588213,0.3,-0.504338165994657,6.2,-0.4062894640235686,8660.0,-0.07252541042293206,3.0,0.019434366018635952,-0.129859497642389
PER,PERU,-1.20341987157383,-0.48440101321780304,-0.719018858356027,-1.4847631770770469,-0.42163066176242225,-0.5741355470588213,5.05,-0.504338165994657,8.5846,-0.4062894640235686,5710.0,-0.1208756840382201,5.0,0.09185186897162732,-0.613749764244033
POL,POLAND,-1.88809894296516,-0.6069174882138944,-1.2811814547512657,-1.5904160670284293,-0.5437164913513739,-0.5741355470588213,4.9,-0.6099910559460395,24.1,-0.4062894640235686,13480.0,-0.04835027361528804,2.0,-0.10275937104025644,0.686633167685506
